DIMENSION,CREATION,DIMENSION_N,ADD_NEW_KMER,DIMENSION_E,ADD_EXISTING_KMER,DIMENSION_M,ADD_MIX_KMER,MEM_CREATION,MEM_ADD_N,MEM_ADD_E,MEM_ADD_M
2,162.9,1.007,50.36,1.007,55.14,2,105.3,33018.8,34546.4,34728.8,35142
7.9,321.9,2,102,2,108.4,2,112.9,41072.4,43746.4,43464.4,43216.8
16,726.3,4,217.2,4,236.3,4,236,41579.2,61696.4,61412.8,60620.8
32,1433,7.9,533.1,7.9,520.5,7.9,517.8,57718.8,57735.6,57645.6,57579.2
63,2743.5,16,1181.6,16,1060.7,16,2215.8,90023.2,90047.2,89944,154358
126,5485.1,32,2419.7,32,2286.1,32,2243,154486.4,154504.4,154408.8,154363.2
252,11739.4,63,4893.1,63,4936.4,63,4945.5,284642.4,284884.4,285066.8,285136.8
504,23097.3,126,10810.3,126,10417.7,126,10229.7,529280.5,547715.6,547372.4,547367.6
1007,44324.9,252,22375.1,252,22494.5,252,21617.9,1070156,1069490.8,1069584.8,1069545.6
2000,87963.5,504,47646.4,504,48104.6,504,46983.5,2116086.8,2093478.4,2115572.4,2115279.2
4000,173960.8,1007,96790.8,1007,97980.5,1007,97851,4209987.2,4210728.4,4209853.6,4315539.1











































