DIMENSION,CREATION,DIMENSION_N,ADD_NEW_KMER,DIMENSION_E,ADD_EXISTING_KMER,DIMENSION_M,ADD_MIX_KMER,MEM_CREATION,MEM_ADD_N,MEM_ADD_E,MEM_ADD_M
2,17.14,1.007,25.52,1.007,32.88,2,59.61,33054,34607.6,34712,35157.2
7.9,56.02,2,56.8,2,62.68,2,67.01,41335.6,43680.8,43595.2,43629.2
16,114.9,4,129.6,4,143.5,4,144.6,57452.4,61647.6,61535.2,60703.6
32,214.4,7.9,298.2,7.9,289.7,7.9,290.3,89540,96191.2,98272,96137.6
63,391.3,16,767.2,16,665.2,16,692.9,114600.8,89984.4,89934.8,89964.4
126,922.4,32,2668.8,32,1510.4,32,1507.2,154492,154445.6,154393.6,154394.4
252,1726.5,63,3170.5,63,3515.6,63,3516.4,284525.2,284815.6,284282,284422.4
504,3395.6,126,7682.8,126,7441.3,126,7086,547133.2,547104.4,547313.2,547088.4
1007,6863.9,252,15614.2,252,16270.7,252,15442.1,1069404.4,1069756.4,1070145.2,1069711.6
2000,14580.5,504,32193.9,504,31924.3,504,32913.5,2117029.2,2116411.6,2115549.2,2115691.6
4000,27669.6,1007,69628.8,1007,69601.9,1007,67000.9,4210686.8,4210710,4210574.4,4209898.4





































